Time stamp;;;Electrical load [MWh];;;;Water consumption [m3/h];;;Solar data [Wh/m2];;;Wind speed [10 magl] [m/s];;;Temperature at 2m [¡C];;
Month;Hour of the day;Hour of the year;Load A;Load B;Load A + random;Load B + random;Regime1 (m?/h);Regime2 (m?/h);Regime3 (m?/h); IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 
1;4;76;4.8;4.7;4.9;4.7;0.0;107.4;7.2;0;0;0;3.467;5.98;4.54; 27.59 ;25.59;24.805
1;5;77;4.7;4.6;4.7;4.5;0.0;107.4;15.6;0;0;0;3.433;6.1;4.144; 27.17 ;27.08;24.641
1;6;78;4.6;4.3;4.6;4.2;0.0;107.4;40.9;0;0;0;3.392;5.54;4.175; 26.75 ;28.46;24.524
1;7;79;4.6;4.9;4.6;4.9;0.0;107.4;108.4;0;0;0;4.158;5.04;4.042; 26.32 ;29.60;24.392
1;8;80;4.8;5.1;4.8;5.2;0.0;107.4;183.7;27;39.3729;30.62;4.783;4.74;4.1; 25.90 ;30.51;24.679
1;9;81;4.8;5.7;4.9;5.7;286.3;107.4;69.5;205.2;218.5894;175.75;4.983;4.62;5.552; 27.10 ;31.11;26.017
1;10;82;5.0;6.2;4.9;6.2;286.3;107.4;80.7;365.4;459.9466;356.63;5.525;4.68;5.517; 28.30 ;31.34;28.098
1;11;83;4.9;5.5;4.9;5.5;286.3;107.4;67.4;620.7;652.2436;518.8;5.967;4.83;5.074; 29.50 ;31.20;29.92
1;12;84;4.8;5.5;4.9;5.5;286.3;107.4;216.7;719.9;789.3495;640.1;5.25;4.97;4.647; 30.70 ;30.69;31.392
1;13;85;4.7;5.4;4.7;5.4;286.3;107.4;310.6;568.7;853.6085;697.31;4.675;4.96;4.234; 31.90 ;29.78;32.333
1;14;86;4.8;5.5;4.9;5.6;286.3;107.4;432.2;822;843.7371;695.93;3.683;4.47;4.243; 33.10 ;28.35;32.824
